Block Height,Block ID,Tx Fee,Block Reward,Miner Claimed,Unclaimed
163939,00000000000002691579416dad42380b1344ad8ef7cca43b6a3ece233d68b8c8,4850000,5000000000,5000000000,4850000
163947,00000000000000c1074fb70fa82bf2a7967c479e007eec75733b507389c8804a,4100000,5000000000,5000000000,4100000
163970,000000000000032fb1005bc5de7ae276d2a91481619b7c4beb53e1ed63f71501,250000,5000000000,5000000000,250000
163974,00000000000000255a7ca2da6e2e9d849a64c0eacfd14656b5a4e6e928a10323,450000,5000000000,5000000000,450000
163975,000000000000031d75f4e68a9fc204c92cb6d00e362075b85a413c13171dd8ba,6490002,5000000000,5000000000,6490002
163977,0000000000000bc2ab6c049655a07173cd468aa25ec5c064f6b117ef5ffa3dbe,4069600,5000000000,5000000000,4069600
163979,00000000000003599850a242a6ceebeb86a14a571327fbec48496d9c018d88b2,1400000,5000000000,5000000000,1400000
163985,0000000000000118ecf1d3970e1d4e6d6e9bb2304ead0cca741271d3f21213da,31352898,5000000000,5000000000,31352898
163989,0000000000000834a5d64a8c3db252e3be90fa26bc16fce8d8b69fcc2cd8e9f0,1560000,5000000000,5000000000,1560000
163995,0000000000000772865ea06107d0b550dfb8bd353c81e0d4d65ef50fe1d0310c,450000,5000000000,5000000000,450000
164003,00000000000001c42930f6b755a30c960a3fa4fb01c2c132faeec384120e458f,3170000,5000000000,5000000000,3170000
164007,0000000000000c4ee4092f4e25141cc0d7b6029c7a816fdc16f6d13ed46926c2,13200000,5000000000,5000000000,13200000
164022,00000000000005154b389db8b0a6ac433f4543cd3da1950004e7d3145ead0488,250000,5000000000,5000000000,250000
164023,0000000000000c2103d203807987ed579abcff0c72c8b13fc6b489c6f3f53ffd,2700000,5000000000,5000000000,2700000
164024,0000000000000654dcc9c1ae70968a98514d21fa229f79906d2bc6588e546d1d,800000,5000000000,5000000000,800000
164025,0000000000000ad106b9bbc4830e54867b263f6444d72ff97cabdebd6b85cca9,450000,5000000000,5000000000,450000
164027,000000000000094c0285237f0eb39d9f835c6480d857bc59cfd42fa6cb481ce9,4750000,5000000000,5000000000,4750000
164028,000000000000026e72bb16c191007fa80c096e7b64e5bb6bb0e699136f5b3cc2,1350000,5000000000,5000000000,1350000
164041,00000000000005c289711bb2417c365a8b1c4eea8a8bb1fbcee67cfcf8e5ca23,350000,5000000000,5000000000,350000
164048,00000000000007d9ae08e066d749b9dbacbd00b86e58b853d5947c20951488a1,110000,5000000000,5000000000,110000
164049,000000000000019ca1fff7f5e9109cb33698cdcd1cc83a86c7eb3d362dc67e7e,14369496,5000000000,5000000000,14369496
164050,000000000000082cf12361ae9b6bae72c377b1f27a1b02959fa785d816528d80,200000,5000000000,5000000000,200000
164056,00000000000004be982f623619cb74c2300d16f14344122d5ab4dfbba748e53e,3908648,5000000000,5000000000,3908648
164067,0000000000000095139027f986e406554fbc04d2f4ccc742b4fc1d1b162d4c2d,150000,5000000000,5000000000,150000
164081,0000000000000827c34e5ac1751b852141498f8347e60433f443d194b01641ec,1450000,5000000000,5000000000,1450000
164084,000000000000032a648c003821191e12c92fae413283a5442c397c68156a55a5,72121726,5000000000,5000000000,72121726
164086,0000000000000b5d1027910b33d03594338f26bd95c3490d3dc801954c6f8571,450000,5000000000,5000000000,450000
164095,00000000000003fe4b6186ecbbcc0502517eb90c3e81c4883ea80035c2546606,1913010,5000000000,5000000000,1913010
164098,0000000000000033ec643fa8612571298979bdc29d481a3c4c9b6df6951c98bd,3219980,5000000000,5000000000,3219980
164099,000000000000053b68dbfb10e36b21fe5b22a04703ff62f6b730e68c961a0298,1300020,5000000000,5000000000,1300020
164100,0000000000000082910354a5139437fb4c69756ef5906972cea316e2ff3c2ab9,4585127,5000000000,5000000000,4585127
164105,000000000000009306454c2df4ff6d534f5e071f35cfd21e18c86b98796cb373,3089997,5000000000,5000000000,3089997
164106,0000000000000b50eb794f0a7a1b4f1708f714c83b817ec5fdc4640eb9538cf8,120000,5000000000,5000000000,120000
164127,00000000000009cc815d0354fd64b8cc758081a3dbc343fb0c4ce4cd04e274ab,850000,5000000000,5000000000,850000
164128,00000000000005aad6aaca1ac771c3551198e7e0d9ee7a5d7eea2606faa91236,1250000,5000000000,5000000000,1250000
164133,000000000000050c6c69481507d315f8b51e2f9c2c39b1faa1d55866d3d256df,1500154,5000000000,5000000000,1500154
164135,0000000000000b9e242b5372b4bdcbbfc565d5527948cb8e8d365929d3c9cbca,350000,5000000000,5000000000,350000
164139,00000000000001621ed3d3fea5a42a75729a37666f950354cf9a3b8588f16454,1950000,5000000000,5000000000,1950000
164143,0000000000000bf1bd57577071251db1808bb1eb82ab780b09f24f0f3c769dd8,4100000,5000000000,5000000000,4100000
164147,000000000000016e2f2edd3392138ad23103878980287240e42377992b24a006,8680005,5000000000,5000000000,8680005
164151,0000000000000c7824bf4620ecc34c60ee2d5fb94463a42be0c62a9189760127,400000,5000000000,5000000000,400000
164157,00000000000003f5ef953c3d3dd028ae9726653ade4da5a7bc77a59732cea6d5,3254365,5000000000,5000000000,3254365
164159,00000000000007d26b2c76b15780cfb0331cd12f7001b5a728972938b91390c5,1900000,5000000000,5000000000,1900000
164162,0000000000000301671dc33b737c50e2958548e7429e98d6b1da003b84af81d3,1350000,5000000000,5000000000,1350000
164165,000000000000062681156cbbed83b9918a7b680082e4215618eb25ce206dffaf,3100000,5000000000,5000000000,3100000
164169,0000000000000902d3874daf149374cf419f94b911c46a446baf0c8bac1731bd,2550000,5000000000,5000000000,2550000
164170,00000000000004412cd7f5e87730eb9b377b652e559cf0dc0ed7e4e73aa20d48,450460,5000000000,5000000000,450460
164172,0000000000000b3d27dc718b3d9e6d62f3994cf6cf5e117862e24e95137802f4,50000,5000000000,5000000000,50000
164173,00000000000006afcb0eafa15500f9add0fdabded5e6aff817fa1bdf2e9664f0,1150000,5000000000,5000000000,1150000
164174,0000000000000a6bfd6e50ad5916db0150546585fd026891540e4e569cfba071,50000,5000000000,5000000000,50000
164194,00000000000003664501aebe92df326cc925ec695d6bcb1b0ec72ceff77f17a3,560010,5000000000,5000000000,560010
164196,00000000000001217e0a1c7165b46c04d97a3715d2192699ba461edfbf736d7e,450000,5000000000,5000000000,450000
164198,00000000000002163e0ae1f47478b41aefadf48286830c0dd5d1cf2f93e1c819,100000,5000000000,5000000000,100000
164199,00000000000001db06aa5d10d98142bec3de0369aba53f02b65b41b9d11e61ea,1550000,5000000000,5000000000,1550000
164201,000000000000074368b782f3c6c291ac6cfff07a972f3827a568860398ea12fb,1981000,5000000000,5000000000,1981000
164203,0000000000000036b1a30ff223ff827a3ca6e57131e86d6436e73da75561c1b6,3844053,5000000000,5000000000,3844053
164210,0000000000000963f5010b32e163c47768bec8967c66b452c322fbe29556eb64,50000,5000000000,5000000000,50000
164211,000000000000049bbca306ec75f50543c0e241bf7f8255946f5846ef612b91f6,6260001,5000000000,5000000000,6260001
164223,0000000000000a674fbde431acf46990406639cddaebcaaa6e58b274599d477a,150000,5000000000,5000000000,150000
164237,00000000000003bd4a0c35b67db39ee49178b0114c451b68f04c7ca9c0e49c58,2932385,5000000000,5000000000,2932385
164243,0000000000000c04c9d86de177f9320b3c8eca807b25b6b592b5a2b702eb3544,100000,5000000000,5000000000,100000
164246,00000000000000443f07eff02a3a5f2414aa6f672d70373994df3c329325ea6f,175780069,5000000000,5000000000,175780069
164248,000000000000042e73075a3a86658bfd3bec90e7ec9bb88e3cf99c1723bc86fc,1400000,5000000000,5000000000,1400000
164252,00000000000000609dac532b7ea902073e3e70059bd1cbf1fc276879e79ea66d,1039082,5000000000,5000000000,1039082
164253,00000000000008f58e381ec2bb7f52c193c34a4d76851faa3096c75e2906bd9f,2350000,5000000000,5000000000,2350000
